Date,SPY_bh,AAPL_bh,MSFT_bh,GOOGL_bh,AMZN_bh,META_bh,NVDA_bh,TSLA_bh,JPM_bh,BAC_bh,WMT_bh,PG_bh,JNJ_bh,XOM_bh,CVX_bh,HD_bh,MCD_bh,KO_bh,PEP_bh,DIS_bh,NFLX_bh,ADBE_bh,CRM_bh,INTC_bh,VZ_bh,UNH_bh,portfolio_comm_0.0,portfolio_comm_0.0001,portfolio_comm_0.0005
2015-01-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2015-01-05,98194.04983859541,97182.82820311212,99080.38880900829,98094.6122566684,97948.27098768229,98393.89201780657,98311.01632149445,95795.89718294727,96895.5197599314,97094.92733890745,99708.95206413858,99524.51694932513,99301.58443120892,97263.8237350536,96002.84276545979,97901.94579630387,98895.57893848662,100000.0,99248.16320544141,98538.65619932282,94910.30373723827,99502.35969148304,98193.79387725583,98872.38127588025,99169.49159451936,98352.83624909888,100000.0,100000.0,100000.0
2015-01-06,97269.1765437344,97191.98942974203,97626.17628683418,95673.69466353639,95711.78534624295,97068.18973798715,95330.38203044869,96338.50787831435,94383.11572953967,94189.90897646235,100477.30014133858,99071.14614155909,98813.62376477408,96746.77334146488,95958.40517668564,97602.21408281951,99077.88579568363,100759.35704149217,98496.38370328951,98015.99505232109,93285.3855121335,97497.92970663216,96556.3953098371,97029.703105688,100170.33694190302,98154.42347804215,101828.28661642908,101808.23505618489,101728.02881520819
2015-01-07,98481.2424731896,98554.85197720479,98866.5328953674,95392.31025047995,96726.3054182563,97068.18973798715,95081.97936583745,96188.03381227732,94527.12424095462,94636.82078161274,103143.17090916047,99590.86531607415,100995.02716968278,97727.08369185837,95878.49946011596,100947.51053685292,100804.23773819709,102017.11251449402,101376.51882170145,99018.65970273709,93769.7071638491,98299.7017005725,96100.62342649793,99064.91121805015,99523.90746911295,99156.60156094111,100966.59781370996,100946.54625346577,100866.34001248908
2015-01-08,100228.79440711628,102341.5685297201,101775.01561909537,95724.68368781461,97387.52828148885,99655.82559475598,98658.7306308779,96037.56626902263,96639.47165388364,96592.14901286416,105320.12139051818,100729.71565401323,101789.15235541588,99353.71370964566,98072.5071293373,103180.87496674624,101179.47508959322,103251.11556869165,103218.96241159782,100042.65764358749,95850.28816234316,100801.77199394036,98902.76726738372,100907.58255099884,101657.05876183478,103889.69395903271,100256.22237501977,100236.17081477559,100155.96457379889
2015-01-09,99425.60576164752,102451.30614887814,100919.60157776176,94555.74431765988,96243.36018306392,99094.94551602028,99056.16253898782,94231.90356770756,94959.1992371646,94860.28686518433,104016.27348131135,99789.87550225342,100401.83404004548,99213.65030128119,96118.29412368532,101411.54752500531,99946.40090961066,102112.02484373211,102520.12109323079,100533.33226085959,94368.66432887,99308.81942865388,98176.8993650441,101100.09881868157,100752.08121857511,102917.29106385565,99600.18583594201,99580.13427569783,99499.92803472113
2015-01-12,98646.75045839156,99926.82844720126,99657.82669288259,93864.60175653409,94454.17290636305,97794.75071734886,97814.22334754004,92202.81600255067,94143.08505652637,93184.32517505206,104796.28293907036,99425.03513228067,100057.39770282886,97306.94019462018,94048.65190662503,100957.12713108522,99731.93897004714,101186.57609337218,102096.51249661975,100757.34521634254,91371.00878964737,98313.52826504143,97451.0445643037,100660.06065865765,101441.59709505878,101756.30587767514,100356.4276305282,100336.37607028401,100256.16982930731
2015-01-13,98369.28039768556,100814.04042340006,99144.57634543642,94759.70041477276,95533.52008270865,97450.59593324417,97665.18174877329,93133.003902385,94159.07775857829,91899.40876917726,103969.74341828877,99845.19102359319,100229.60083536412,96951.44134739637,92556.41043500447,100290.04732855757,99538.94289784181,101162.84314376372,102022.41049780228,101535.9879739943,92792.44515234978,97580.86800028855,97856.20496980342,100385.04620985265,101657.05876183478,102272.2962427063,100608.83608351587,100588.78452327168,100508.57828229498
2015-01-14,97775.39616573617,100429.88385819462,98289.12385118297,95539.60864615711,95057.04766634479,97233.90007032217,98062.60747924917,87861.92391683166,90910.53954512964,89608.92892388497,100826.53127369491,99502.41634443891,99502.4964392073,96671.35458311476,92289.90670985445,99236.17319205365,98155.70601336108,100996.73845543213,102361.24924946947,100512.00790770649,92921.41967053195,96751.4534239889,96640.77615970116,99972.47325731823,101204.57369624345,102530.25938920684,101035.7518454635,101015.70028521931,100935.49404424262
2015-01-15,96879.70853086795,97704.20606736529,97262.59431660076,95177.03860165653,93008.55815456783,94391.33656061834,97367.12943940998,87488.0249869528,87998.07889727516,84916.16831820528,101722.96485405049,99358.6634894865,98057.76037291065,95831.11431649364,91197.39314243737,97660.27197045565,97984.13208984317,100569.53887274784,102361.24924946947,100639.99871303148,92783.86470713658,97166.165985428,93028.37046501244,99532.45560902508,101484.68349875238,103651.51076355188,103165.73569594263,103145.68413569844,103065.47789472174
